city,lat,lng,maxtemp,cloudiness,country,date,humidity,windspeed
ouargaye,11.5,0.06,75.24,12,BF,1540704512,83,2.98
west fargo,46.88,-96.9,42.8,75,US,1540702380,93,14.99
bochnia,49.97,20.43,41,75,PL,1540702800,93,11.41
wigston,52.59,-1.11,41,40,GB,1540702200,93,5.82
rocha,-34.48,-54.34,47.66,44,UY,1540704513,88,2.75
dao,11.39,122.69,76.14,92,PH,1540704513,98,7.67
alugan,12.22,125.48,82.62,88,PH,1540704513,88,17.74
muravlenko,63.79,74.5,29.75,0,RU,1540704513,83,12.71
thinadhoo,0.53,72.93,80.15,68,MV,1540704514,100,13.27
tres arroyos,-38.38,-60.28,60.98,64,AR,1540704514,71,11.81
pelotas,-31.77,-52.34,64.4,92,BR,1540704514,90,9.01
verkhnyaya inta,65.99,60.32,29.16,80,RU,1540704514,82,3.76
sambava,-14.27,50.17,75.51,36,MG,1540704514,100,9.24
voi,-3.4,38.57,70.43,0,KE,1540704515,90,2.19
sevlievo,43.03,25.1,41,0,BG,1540702800,100,3.36
linjiang,41.81,126.91,30.51,68,CN,1540704515,59,8.01
gelemso,8.81,40.52,69.53,0,ET,1540704515,49,3.42
baiquan,47.61,126.08,33.75,88,CN,1540704516,82,14.38
eden,50.38,-99.47,33.8,20,CA,1540702800,80,10.29
cuenca,40.07,-2.13,31.05,44,ES,1540704516,100,6.11
pangnirtung,66.15,-65.72,22.73,68,CA,1540704517,96,10.8
geraldton,49.72,-86.95,35.6,90,CA,1540702800,80,3.36
teya,21.05,-89.07,78.8,40,MX,1540702020,74,4.7
erenhot,43.65,111.97,44.37,12,CN,1540704517,46,17.4
englehart,47.82,-79.87,30.2,90,CA,1540702800,80,4.7
martil,35.62,-5.28,53.6,75,MA,1540702800,81,16.11
birin,35.01,36.67,50,0,SY,1540704518,74,4.65
karratha,-20.74,116.85,101.48,0,AU,1540704518,14,11.25
kavieng,-2.57,150.8,83.7,48,PG,1540704147,100,4.76
chara,39.42,22.43,51.8,0,GR,1540702200,93,3.36
villazon,,,,,,,,
hambantota,6.12,81.12,82.08,76,LK,1540704184,100,5.32
nuuk,64.17,-51.74,33.8,76,GL,1540702200,59,13.87
san rafael,-34.61,-68.33,53.6,36,AR,1540704520,100,2.75
bryan,30.67,-96.37,68,1,US,1540702500,93,10.69
pilar,-34.46,-58.91,64.4,0,AR,1540699200,72,4.7
duz,,,,,,,,
bontang,0.12,117.47,83.75,32,ID,1540704227,100,1.41
dingle,11,122.67,82.71,92,PH,1540704521,75,4.32
tsaratanana,-16.8,47.65,80.6,0,MG,1540704521,50,5.55
omboue,-1.57,9.26,80.01,92,GA,1540704168,100,11.25
salalah,17.01,54.1,77,0,OM,1540698600,78,3.36
maldonado,-34.91,-54.96,57.2,0,UY,1540699200,93,2.24
newton stewart,54.96,-4.48,28.4,20,GB,1540702200,92,8.68
artyk,,,,,,,,
